Numero,URL,Nome,Peso,Altura,Tipo 1,Tipo 2,Habilidade,Descricao Habilidade,URL Habilidade,Evolução 2 Número,Evolução 2 Nome,Evolução 2 Url,Evolução 3 Número,Evolução 3 Nome,Evolução 3 Url
0001,https://pokemondb.net/pokedex/bulbasaur,Bulbasaur,6.9 kg (15.2 lbs),0.7 m (2′04″),Grass,Poison,/ability/overgrow,Powers up Grass-type moves in a pinch.,https://pokemondb.net/ability/overgrow,#0002,Ivysaur,https://pokemondb.net/pokedex/ivysaur,#0003,Venusaur,https://pokemondb.net/pokedex/venusaur
0002,https://pokemondb.net/pokedex/ivysaur,Ivysaur,13.0 kg (28.7 lbs),1.0 m (3′03″),Grass,Poison,/ability/overgrow,Powers up Grass-type moves in a pinch.,https://pokemondb.net/ability/overgrow,#0002,Ivysaur,https://pokemondb.net/pokedex/ivysaur,#0003,Venusaur,https://pokemondb.net/pokedex/venusaur
0003,https://pokemondb.net/pokedex/venusaur,Venusaur,100.0 kg (220.5 lbs),2.0 m (6′07″),Grass,Poison,/ability/overgrow,Powers up Grass-type moves in a pinch.,https://pokemondb.net/ability/overgrow,#0002,Ivysaur,https://pokemondb.net/pokedex/ivysaur,#0003,Venusaur,https://pokemondb.net/pokedex/venusaur
0004,https://pokemondb.net/pokedex/charmander,Charmander,8.5 kg (18.7 lbs),0.6 m (2′00″),Fire,,/ability/blaze,Powers up Fire-type moves in a pinch.,https://pokemondb.net/ability/blaze,#0005,Charmeleon,https://pokemondb.net/pokedex/charmeleon,#0006,Charizard,https://pokemondb.net/pokedex/charizard
0005,https://pokemondb.net/pokedex/charmeleon,Charmeleon,19.0 kg (41.9 lbs),1.1 m (3′07″),Fire,,/ability/blaze,Powers up Fire-type moves in a pinch.,https://pokemondb.net/ability/blaze,#0005,Charmeleon,https://pokemondb.net/pokedex/charmeleon,#0006,Charizard,https://pokemondb.net/pokedex/charizard
0006,https://pokemondb.net/pokedex/charizard,Charizard,90.5 kg (199.5 lbs),1.7 m (5′07″),Fire,Flying,/ability/blaze,Powers up Fire-type moves in a pinch.,https://pokemondb.net/ability/blaze,#0005,Charmeleon,https://pokemondb.net/pokedex/charmeleon,#0006,Charizard,https://pokemondb.net/pokedex/charizard
0007,https://pokemondb.net/pokedex/squirtle,Squirtle,9.0 kg (19.8 lbs),0.5 m (1′08″),Water,,/ability/torrent,Powers up Water-type moves in a pinch.,https://pokemondb.net/ability/torrent,#0008,Wartortle,https://pokemondb.net/pokedex/wartortle,#0009,Blastoise,https://pokemondb.net/pokedex/blastoise
0008,https://pokemondb.net/pokedex/wartortle,Wartortle,22.5 kg (49.6 lbs),1.0 m (3′03″),Water,,/ability/torrent,Powers up Water-type moves in a pinch.,https://pokemondb.net/ability/torrent,#0008,Wartortle,https://pokemondb.net/pokedex/wartortle,#0009,Blastoise,https://pokemondb.net/pokedex/blastoise
0009,https://pokemondb.net/pokedex/blastoise,Blastoise,85.5 kg (188.5 lbs),1.6 m (5′03″),Water,,/ability/torrent,Powers up Water-type moves in a pinch.,https://pokemondb.net/ability/torrent,#0008,Wartortle,https://pokemondb.net/pokedex/wartortle,#0009,Blastoise,https://pokemondb.net/pokedex/blastoise
0010,https://pokemondb.net/pokedex/caterpie,Caterpie,2.9 kg (6.4 lbs),0.3 m (1′00″),Bug,24,/ability/shield-dust,Blocks the added effects of attacks taken.,https://pokemondb.net/ability/shield-dust,#0011,Metapod,https://pokemondb.net/pokedex/metapod,#0012,Butterfree,https://pokemondb.net/pokedex/butterfree
0011,https://pokemondb.net/pokedex/metapod,Metapod,9.9 kg (21.8 lbs),0.7 m (2′04″),Bug,25,/ability/shed-skin,The Pokémon may heal its own status problems.,https://pokemondb.net/ability/shed-skin,#0011,Metapod,https://pokemondb.net/pokedex/metapod,#0012,Butterfree,https://pokemondb.net/pokedex/butterfree
0012,https://pokemondb.net/pokedex/butterfree,Butterfree,32.0 kg (70.5 lbs),1.1 m (3′07″),Bug,Flying,/ability/compound-eyes,The Pokémon's accuracy is boosted.,https://pokemondb.net/ability/compound-eyes,#0011,Metapod,https://pokemondb.net/pokedex/metapod,#0012,Butterfree,https://pokemondb.net/pokedex/butterfree
0013,https://pokemondb.net/pokedex/weedle,Weedle,3.2 kg (7.1 lbs),0.3 m (1′00″),Bug,Poison,/ability/shield-dust,Blocks the added effects of attacks taken.,https://pokemondb.net/ability/shield-dust,#0014,Kakuna,https://pokemondb.net/pokedex/kakuna,#0015,Beedrill,https://pokemondb.net/pokedex/beedrill
0014,https://pokemondb.net/pokedex/kakuna,Kakuna,10.0 kg (22.0 lbs),0.6 m (2′00″),Bug,Poison,/ability/shed-skin,The Pokémon may heal its own status problems.,https://pokemondb.net/ability/shed-skin,#0014,Kakuna,https://pokemondb.net/pokedex/kakuna,#0015,Beedrill,https://pokemondb.net/pokedex/beedrill
0015,https://pokemondb.net/pokedex/beedrill,Beedrill,29.5 kg (65.0 lbs),1.0 m (3′03″),Bug,Poison,/ability/swarm,Powers up Bug-type moves in a pinch.,https://pokemondb.net/ability/swarm,#0014,Kakuna,https://pokemondb.net/pokedex/kakuna,#0015,Beedrill,https://pokemondb.net/pokedex/beedrill
0016,https://pokemondb.net/pokedex/pidgey,Pidgey,1.8 kg (4.0 lbs),0.3 m (1′00″),Normal,Flying,/ability/keen-eye,Prevents other Pokémon from lowering accuracy.,https://pokemondb.net/ability/keen-eye,#0017,Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,#0018,Pidgeot,https://pokemondb.net/pokedex/pidgeot
0017,https://pokemondb.net/pokedex/pidgeotto,Pidgeotto,30.0 kg (66.1 lbs),1.1 m (3′07″),Normal,Flying,/ability/keen-eye,Prevents other Pokémon from lowering accuracy.,https://pokemondb.net/ability/keen-eye,#0017,Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,#0018,Pidgeot,https://pokemondb.net/pokedex/pidgeot
0018,https://pokemondb.net/pokedex/pidgeot,Pidgeot,39.5 kg (87.1 lbs),1.5 m (4′11″),Normal,Flying,/ability/keen-eye,Prevents other Pokémon from lowering accuracy.,https://pokemondb.net/ability/keen-eye,#0017,Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,#0018,Pidgeot,https://pokemondb.net/pokedex/pidgeot
0019,https://pokemondb.net/pokedex/rattata,Rattata,3.5 kg (7.7 lbs),0.3 m (1′00″),Normal,Normal,/ability/run-away,Enables a sure getaway from wild Pokémon.,https://pokemondb.net/ability/run-away,#0020,Raticate,https://pokemondb.net/pokedex/raticate,,,
